Date,ndvi
2018-12-22,0.249552010489511
2018-12-23,0.249936261655012
2018-12-24,0.250320512820513
2018-12-25,0.251343968531469
2018-12-26,0.252367424242424
2018-12-27,0.25339087995338
2018-12-28,0.251220134032634
2018-12-29,0.252354676573427
2018-12-30,0.252463942307692
2018-12-31,0.252573208041958
2019-01-01,0.252682473776224
2019-01-02,0.252897363053613
2019-01-03,0.251609848484849
2019-01-04,0.24956475815850798
2019-01-05,0.247519667832168
2019-01-06,0.245474577505828
2019-01-07,0.243090763403264
2019-01-08,0.23950502622377698
2019-01-09,0.23716673951049
2019-01-10,0.234828452797203
2019-01-11,0.23339160839160897
2019-01-12,0.23298004079254103
2019-01-13,0.232568473193474
2019-01-14,0.23108610139860197
2019-01-15,0.22900276806526798
2019-01-16,0.226919434731935
2019-01-17,0.225593677156177
2019-01-18,0.22426791958042
2019-01-19,0.22299471681181798
2019-01-20,0.22142103327398602
2019-01-21,0.221049272813077
2019-01-22,0.219430061885967
2019-01-23,0.21781085095885697
2019-01-24,0.216190075900582
2019-01-25,0.21456930084230702
